"source","target","developer_comments"
"mod_name","Ad Astra Remake",""
"mod_description","x",""
"phobos","Phobos",""
"deimos","Deimos",""
"ceres","Ceres",""
"pallas","Pallas",""
"vesta","Vesta",""
"juno","Juno",""
"iapetus","Iapetus",""
"hyperion","Hyperion",""
"rhea","Rhea",""
"dione","Dione",""
"tethys","Tethys",""
"mimas","Mimas",""
"oberon","Oberon",""
"titania","Titania",""
"umbriel","Umbriel",""
"ariel","Ariel",""
"miranda","Miranda",""
"eris","Eris",""
"makemake","Makemake",""
"pluto","Pluto",""
"charon","Charon",""
"haumea","Haumea",""
